年/月,不含11.瓦片及紅磚之[磚瓦瓷類]指數,不含37.木門、38.木板之[木材及其製品類]指數,不含58.泵浦、62.感知器之[機電設備類]指數,不含72.玻璃製品之[雜項類]指數,不含99.挖土機租金、103.舖面機租金之[機具設備租金類]指數,不含11.瓦片及紅磚、37.木門、38.木板、58.泵浦、62.感知器、72.玻璃製品、99.挖土機租金、103.舖面機租金、[砂石及級配類]之總指數,11.瓦片及紅磚指數,37.木門指數,38.木板指數,58.泵浦指數,62.感知器指數,72.玻璃製品指數,99.挖土機租金指數,103.舖面機租金指數,砂石及級配類指數
102/01,97.00,81.40,89.35,89.26,89.89,84.26,89.98,77.96,94.14,90.18,95.96,91.00,93.74,94.48,85.08
102/02,97.00,82.39,89.67,89.83,90.08,84.49,90.15,78.07,95.38,90.18,96.35,90.84,94.15,94.49,84.90
102/03,97.38,83.14,90.18,89.84,90.26,84.63,90.15,78.53,96.46,90.18,97.14,90.67,94.16,94.85,84.90
102/04,98.22,83.64,89.14,90.06,90.31,84.20,90.15,78.72,96.70,90.18,97.63,90.32,94.44,94.88,84.76
102/05,98.46,83.66,88.19,90.08,90.26,83.85,90.15,78.53,96.39,89.97,97.63,90.15,94.46,94.88,84.75
102/06,98.46,83.45,88.12,91.86,90.20,83.61,90.15,78.75,96.57,90.49,97.63,90.09,94.47,94.88,84.66
102/07,98.11,83.53,87.58,91.52,90.19,83.64,89.59,79.25,96.98,90.75,97.63,89.98,94.47,94.88,85.16
102/08,98.16,84.11,87.23,91.57,90.35,83.78,88.81,79.25,97.98,90.75,97.63,89.98,94.47,94.88,85.74
102/09,98.11,84.23,88.15,91.71,90.41,84.17,88.81,79.71,98.10,90.40,97.63,89.98,94.47,95.12,86.62
102/10,98.27,84.42,87.86,90.66,90.52,84.14,89.18,80.14,97.79,89.89,97.63,91.29,94.47,95.12,87.01
102/11,98.74,84.52,87.87,91.05,90.57,84.34,89.32,80.25,97.79,89.89,97.63,92.75,94.47,95.12,87.96
102/12,99.37,84.79,87.67,91.09,90.59,84.53,89.39,80.46,97.79,89.89,97.63,93.08,94.47,95.12,89.04
103/01,99.85,85.52,88.56,90.99,90.75,84.81,89.64,80.64,97.79,89.89,97.63,93.08,94.48,95.12,91.17
103/02,100.68,86.20,89.07,91.25,90.87,84.86,89.90,80.89,98.53,89.89,97.63,93.08,94.48,95.12,92.16
